date,open_interest_all,net
2010-03-30,113405,32981
2010-04-06,118712,37523
2010-04-13,123661,39605
2010-04-20,126679,38862
2010-04-27,124157,40567
2010-05-04,123448,38660
2010-05-11,122669,37590
2010-05-18,125228,42790
2010-05-25,120120,34832
2010-06-01,122368,35885
2010-06-08,122536,35003
2010-06-15,131070,37516
2010-06-22,139019,40051
2010-06-29,128065,41910
2010-07-06,118962,35044
2010-07-13,117959,35182
2010-07-20,117531,31634
2010-07-27,117370,30337
2010-08-03,123464,36455
2010-08-10,123370,35734
2010-08-17,128848,35572
2010-08-24,124185,34807
2010-08-31,130813,44813
2010-09-07,139522,47203
2010-09-14,144798,48791
2010-09-21,146767,49371
2010-09-28,154219,51481
2010-10-05,156096,48483
